Family,Type,Material: Name,Material: Volume,Material: Area
Compound Ceiling,Plain,Metal Stud Layer,0.21 m³,5 m²
Compound Ceiling,Plain,Gypsum Wall Board,0.06 m³,5 m²
Compound Ceiling,Plain,Grass 01,0.00 m³,5 m²
Compound Ceiling,Plain,Metal Stud Layer,0.15 m³,3 m²
Compound Ceiling,Plain,Gypsum Wall Board,0.04 m³,3 m²
Compound Ceiling,Plain,Grass 01,0.00 m³,4 m²
Compound Ceiling,Plain,Metal Stud Layer,0.12 m³,3 m²
Compound Ceiling,Plain,Gypsum Wall Board,0.03 m³,3 m²
Compound Ceiling,Plain,Grass 01,0.00 m³,3 m²
Compound Ceiling,Plain,Metal Stud Layer,0.09 m³,2 m²
Compound Ceiling,Plain,Gypsum Wall Board,0.02 m³,2 m²
Compound Ceiling,Plain,Grass 01,0.00 m³,2 m²
Compound Ceiling,Plain,Metal Stud Layer,39.02 m³,867 m²
Compound Ceiling,Plain,Gypsum Wall Board,10.41 m³,867 m²
Compound Ceiling,Plain,Footpath,0.00 m³,867 m²
Compound Ceiling,grass,Gypsum Wall Board,0.48 m³,40 m²
Compound Ceiling,grass,Grass 01,1.80 m³,40 m²
Compound Ceiling,grass,grass 2,0.00 m³,40 m²
Compound Ceiling,grass,Gypsum Wall Board,0.48 m³,40 m²
Compound Ceiling,grass,Grass 01,1.80 m³,40 m²
Compound Ceiling,grass,grass 2,0.00 m³,40 m²
Compound Ceiling,grass,Gypsum Wall Board,0.48 m³,40 m²
Compound Ceiling,grass,Grass 01,1.80 m³,40 m²
Compound Ceiling,grass,grass 2,0.00 m³,40 m²
Compound Ceiling,grass,Gypsum Wall Board,0.48 m³,40 m²
Compound Ceiling,grass,Grass 01,1.80 m³,40 m²
Compound Ceiling,grass,grass 2,0.00 m³,40 m²
Compound Ceiling,water,water,0.29 m³,6 m²
Compound Ceiling,grass,Gypsum Wall Board,0.04 m³,4 m²
Compound Ceiling,grass,Grass 01,0.16 m³,4 m²
Compound Ceiling,grass,grass 2,0.00 m³,4 m²
Compound Ceiling,grass,Gypsum Wall Board,0.04 m³,4 m²
Compound Ceiling,grass,Grass 01,0.16 m³,4 m²
Compound Ceiling,grass,grass 2,0.00 m³,4 m²
Compound Ceiling,grass,Gypsum Wall Board,0.04 m³,4 m²
Compound Ceiling,grass,Grass 01,0.16 m³,4 m²
Compound Ceiling,grass,grass 2,0.00 m³,4 m²
Compound Ceiling,grass,Gypsum Wall Board,0.04 m³,4 m²
Compound Ceiling,grass,Grass 01,0.16 m³,4 m²
Compound Ceiling,grass,grass 2,0.00 m³,4 m²
