Family,Volume,Pile Cap Length,Pile Cap Width
Foundation Slab,337.50 m³,,
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-3 Round Pile,7.96 m³,2700,2700
Pile Cap-1 Round Pile,1.68 m³,900,900
Footing-Rectangular,0.06 m³,,
Pile Cap-1 Round Pile,1.70 m³,900,900
Pile Cap-1 Round Pile,1.93 m³,900,900
Footing-Rectangular,0.16 m³,,
Pile Cap-1 Round Pile,1.93 m³,900,900
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-3 Pile,4.58 m³,,
Pile-Steel Pipe,0.64 m³,,
Pile-Steel Pipe,0.64 m³,,
Pile-Steel Pipe,0.64 m³,,
Pile Cap-4 Round Pile,16.39 m³,3500,3500
Pile Cap-4 Round Pile,8.69 m³,2600,2600
Pile Cap-2 Round Pile,6.30 m³,3300,1000
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Foundation Slab,37.99 m³,,
Pile Cap-1 Round Pile,0.95 m³,900,900
single Pile Cap,,,
Pile-Steel Pipe,0.93 m³,,
Pile Cap-1 Round Pile,0.95 m³,900,900
Pile Cap-1 Round Pile,0.93 m³,900,900
Pile Cap-1 Round Pile,0.97 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.55 m³,900,900
Pile Cap-1 Round Pile,1.57 m³,900,900
Pile Cap-1 Round Pile,1.60 m³,900,900
Pile Cap-1 Round Pile,0.96 m³,900,900
Pile Cap-1 Round Pile,1.00 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-2 Round Pile,6.80 m³,3300,1000
Pile Cap-1 Round Pile,1.69 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.93 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.70 m³,900,900
Pile Cap-1 Round Pile,1.69 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.70 m³,900,900
Pile Cap-1 Round Pile,1.69 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
Pile Cap-1 Round Pile,1.68 m³,900,900
