Type,Width,Height,Sill Height,Head Height,Count,Level
Single Casement Window 1490x2550,1490,2550,700,3250,1,Ground Floor Level
Single Casement Window 1490x2550,1490,2550,700,3250,1,Ground Floor Level
Double Casement Window 1250x2550,1250,2550,1400,3950,1,Ground Floor Level
Double Casement Window 1250x2550,1250,2550,1400,3950,1,Ground Floor Level
Double Casement Window 875x2550,875,2550,1400,3950,1,Ground Floor Level
Double Casement Window 875x2550,875,2550,1400,3950,1,Ground Floor Level
Single Casement Window 875x1600,875,1600,380,1980,1,Ground Floor Level
Single Casement Window 875x1600,875,1600,380,1980,1,Ground Floor Level
Single Casement Window 875x1600,875,1600,380,1980,1,Ground Floor Level
Double Casement Window 875x2550,875,2550,1400,3950,1,Ground Floor Level
Single Casement Window 1490x2550,1490,2550,700,3250,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,1500,3450,1,Ground Floor Level
Double Casement Window 875x2550,875,2550,1400,3950,1,Ground Floor Level
Single Curved Casement Window 1950x1950,1957,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1950x1950,1957,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1950x1950,1957,1950,100,2050,1,Ground Floor Level
Single Curved Casement Window 1950x1950,1957,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1950x1950,1957,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,200,2150,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,200,2150,1,Ground Floor Level
Double Casement Window 1250x2550,1250,2550,1400,3950,1,Ground Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Single Curved Casement Window 1950x1950,1957,1950,800,2750,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Mezzaine Floor Level
Circular Window 840,827,827,750,1577,1,First Floor Level
Circular Window 840,827,827,750,1577,1,First Floor Level
Circular Window 840,827,827,700,1527,1,First Floor Level
Windows Bottom Trim,,,,,1,
Windows Bottom Trim,,,,,1,
TripleCasement Windows,2773,2550,1400,3950,1,Ground Floor Level
TripleCasement Windows,2773,2550,1400,3950,1,Ground Floor Level
Circular Window 840,827,827,700,1527,1,First Floor Level
Triple Casement Window 2140x1400,2140,1400,135,1535,1,First Floor Level
Window Trim 2,,,,,1,
Triple Casement Window 2140x1400,2140,1400,135,1535,1,First Floor Level
Window Trim 2,,,,,1,
Single Casement Window 875x1300,875,1300,135,1435,1,First Floor Level
Single Casement Window 875x1300,875,1300,135,1435,1,First Floor Level
Single Casement Window 875x1300,875,1300,1400,2700,1,Ground Floor Level
Windows Trim 4,,,,,1,
Windows Vertical Trim,,,,,1,
Windows Vertical Trim,,,,,1,
Windows Vertical Trim,,,,,1,
Windows Vertical Trim,,,,,1,
Single Casement Window 1068x1850,1068,1850,750,2600,1,Mezzaine Floor Level
Single Casement Window 1068x1850,1068,1850,750,2600,1,Mezzaine Floor Level
Single Casement Window 1068x1850,1068,1850,750,2600,1,Mezzaine Floor Level
Single Casement Window 1068x1850,1068,1850,750,2600,1,Mezzaine Floor Level
Sgl Casement - Top Hung 1035 x 1360,1050,1400,710,2110,1,Mezzaine Floor Level
Windows Vertical Trim 2,,,,,1,
Single Casement Window 990x1360,990,1360,400,1760,1,Stage Floor Level
Single Casement Window 990x1360,990,1360,400,1760,1,Stage Floor Level
Single Casement Window 990x1360,990,1360,400,1760,1,Stage Floor Level
Single Casement Window 990x1360,990,1360,400,1760,1,Stage Floor Level
Single Casement Window 990x1360,990,1360,400,1760,1,Stage Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Stage Floor Level
Single Curved Casement Window 1380x1950,1380,1950,700,2650,1,Stage Floor Level
Circular Window 840,827,827,750,1577,1,First Floor Level
Single Casement Window 875x1300,875,1300,500,1800,1,Second Floor Level
Single Casement Window 875x1300,875,1300,500,1800,1,Second Floor Level
Single Casement Window 875x1300,875,1300,500,1800,1,Second Floor Level
Single Casement Window 875x1300,875,1300,400,1700,1,Second Floor Level
Single Casement Window 875x1300,875,1300,400,1700,1,Second Floor Level
Single Casement Window 875x1300,875,1300,400,1700,1,Second Floor Level
Single Casement Window 875x1300,875,1300,400,1700,1,Second Floor Level
Single Casement Window 875x1300,875,1300,400,1700,1,Second Floor Level
Arch Casement Window 1 1500x3600,1500,3600,0,3600,1,Second Floor Level
Arch Casement Window 1500x3600,1500,3600,0,3600,1,Second Floor Level
Arch Casement Window 1800x4000,1800,4000,800,4800,1,Mezzaine Ceiling
Arch Casement Window 1800x4000,1800,4000,800,4800,1,Mezzaine Ceiling
Arch Casement Window 1800x4000,1800,4000,800,4800,1,Mezzaine Ceiling
Arch Casement Window 1800x4000,1800,4000,800,4800,1,Mezzaine Ceiling
Arch Casement Window 1800x4000,1800,4000,0,4000,1,Second Floor Level
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,Stage Floor Level
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,Stage Floor Level
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,Stage Floor Level
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,Stage Floor Level
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,First Floor Ceiling
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,First Floor Ceiling
Arc Casement Window 3 1500x3600,1500,3600,1800,5400,1,First Floor Ceiling
910x910mm,4400,1200,1500,2700,1,Second Floor Level
Circular Window 840,827,827,3400,4227,1,Second Floor Level
Circular Window 840,827,827,3400,4227,1,Second Floor Level
2800x390,400,2800,0,2800,1,Second Floor Level
2800x390,400,2800,0,2800,1,Second Floor Level
Single Curved Casement Window 1380x1950,1380,1950,1000,2950,1,Mezzaine Floor Level
Single Curved Casement Window 1380x1950,1380,1950,1400,3350,1,First Floor Level
